Date,Open,High,Low,Close,Adj Close,Volume
2011-09-30,13.825714,13.888928,13.613571,13.618571,11.652668,547640800
2011-10-03,13.584642,13.665714,13.327500,13.378572,11.447312,669099200
2011-10-04,13.377500,13.635715,12.651428,13.303572,11.383140,1233677200
2011-10-05,13.137857,13.565000,12.867857,13.508928,11.558855,786469600
2011-10-06,13.333215,13.742143,13.278571,13.477500,11.531960,812582400
2011-10-07,13.420714,13.490714,13.160357,13.207143,11.300632,535458000
2011-10-10,13.538929,13.886071,13.507500,13.886071,11.881549,442514800
2011-10-11,14.020357,14.399285,13.982142,14.296071,12.232369,605687600
2011-10-12,14.547857,14.616072,14.290714,14.363929,12.290429,622286000
2011-10-13,14.463572,14.586785,14.387500,14.586785,12.481112,426185200
2011-10-14,14.886786,15.071428,14.831072,15.071428,12.895796,573367200
2011-10-17,15.062143,15.239285,14.855000,14.999643,12.834374,686044800
2011-10-18,15.062857,15.171785,14.856786,15.080000,12.903131,881602400
2011-10-19,14.333928,14.586429,14.207143,14.236428,12.181334,1104059600
2011-10-20,14.285714,14.298214,14.078929,14.118215,12.080186,549270400
2011-10-21,14.217857,14.255000,13.955358,14.031072,12.005623,621244400
2011-10-24,14.149285,14.517858,14.121428,14.491786,12.399829,502138000
2011-10-25,14.465357,14.519643,14.192142,14.206072,12.155358,430427200
2011-10-26,14.348572,14.376785,14.041072,14.307143,12.241842,456304800
2011-10-27,14.555715,14.607142,14.353214,14.453215,12.366825,494664800
2011-10-28,14.392858,14.512500,14.375357,14.462500,12.374770,322842800
2011-10-31,14.372143,14.618929,14.323215,14.456429,12.369576,385501200
2011-11-01,14.193214,14.267858,14.043571,14.161072,12.116854,531790000
2011-11-02,14.288929,14.301429,14.111072,14.193214,12.144360,327350800
2011-11-03,14.252500,14.407143,14.120000,14.395357,12.317318,441386400
2011-11-04,14.358214,14.408571,14.255714,14.294286,12.230839,302229200
2011-11-07,14.282500,14.285714,14.147500,14.276072,12.215256,270275600
2011-11-08,14.364643,14.571428,14.341429,14.508214,12.413891,400442000
2011-11-09,14.177500,14.317500,14.079643,14.117143,12.079269,558684000
2011-11-10,14.179643,14.186071,13.648214,13.757857,11.771843,744752400
2011-11-11,13.807500,13.882143,13.580714,13.736428,11.753511,653786000
2011-11-14,13.697143,13.758928,13.507143,13.545000,11.589715,432905200
2011-11-15,13.600000,13.910714,13.551785,13.886786,11.882164,430810800
2011-11-16,13.901786,13.969286,13.725715,13.741786,11.758096,349210400
2011-11-17,13.713572,13.735000,13.410714,13.478929,11.533183,479900400
2011-11-18,13.532857,13.571072,13.388572,13.390715,11.457702,371938000
2011-11-21,13.228572,13.274285,13.068214,13.178928,11.276489,447980400
2011-11-22,13.250714,13.497500,13.247857,13.446786,11.505680,409021200
2011-11-23,13.375357,13.422857,13.102858,13.106786,11.214762,428271200
2011-11-25,13.157857,13.255357,12.975715,12.984643,11.110251,254760800
2011-11-28,13.298214,13.454286,13.226071,13.432858,11.493763,346413200
2011-11-29,13.422857,13.529643,13.221429,13.328571,11.404528,375855200
2011-11-30,13.617500,13.652857,13.510715,13.650000,11.679561,405938400
2011-12-01,13.662143,13.892858,13.598214,13.854643,11.854660,387181200
2011-12-02,13.922500,14.058214,13.877857,13.917857,11.908751,379055600
2011-12-05,14.053214,14.157500,13.942500,14.036072,12.009901,357210000
2011-12-06,14.018214,14.093928,13.906428,13.962500,11.946949,283598000
2011-12-07,13.926071,13.962143,13.812857,13.896071,11.890107,304746400
2011-12-08,13.980357,14.125000,13.936786,13.952143,11.938087,376356400
2011-12-09,14.030357,14.072857,13.965357,14.057858,12.028543,296993200
2011-12-12,13.988571,14.067857,13.908929,13.994286,11.974145,301067200
2011-12-13,14.035714,14.121428,13.825000,13.886071,11.881549,338928800
2011-12-14,13.810715,13.835000,13.488571,13.578215,11.618136,406887600
2011-12-15,13.690357,13.705000,13.511071,13.533571,11.579939,256200000
2011-12-16,13.584286,13.719643,13.556071,13.607857,11.643500,421478400
2011-12-19,13.659643,13.744643,13.588572,13.650357,11.679866,235530400
2011-12-20,13.848572,14.146428,13.830714,14.141071,12.099742,337215200
2011-12-21,14.167500,14.189285,14.000357,14.158929,12.115022,262948000
2011-12-22,14.178572,14.254642,14.146428,14.233929,12.179193,202358800
2011-12-23,14.274643,14.413929,14.267500,14.404643,12.325268,269399200
2011-12-27,14.396428,14.610357,14.393572,14.518929,12.423054,265076000
2011-12-28,14.531786,14.580358,14.333571,14.380000,12.304182,228662000
2011-12-29,14.407143,14.487500,14.303928,14.468572,12.379967,215978000
2011-12-30,14.411072,14.510000,14.410357,14.464286,12.376299,179662000
2012-01-03,14.621428,14.732142,14.607142,14.686786,12.566676,302220800
2012-01-04,14.642858,14.810000,14.617143,14.765715,12.634213,260022000
2012-01-05,14.819643,14.948215,14.738214,14.929643,12.774481,271269600
2012-01-06,14.991786,15.098214,14.972143,15.085714,12.908023,318292800
2012-01-09,15.196428,15.276786,15.048214,15.061786,12.887549,394024400
2012-01-10,15.211071,15.214286,15.053572,15.115714,12.933691,258196400
2012-01-11,15.095715,15.101786,14.975357,15.091071,12.912603,215084800
2012-01-12,15.081429,15.103572,14.955358,15.049643,12.877157,212587200
2012-01-13,14.989285,15.016071,14.952143,14.993215,12.828874,226021600
2012-01-17,15.150000,15.213928,15.105714,15.167857,12.978308,242897200
2012-01-18,15.248571,15.338214,15.225000,15.325357,13.113070,276791200
2012-01-19,15.362500,15.406072,15.232500,15.276786,13.071511,261738400
2012-01-20,15.267500,15.267858,14.991072,15.010715,12.843846,413974400
2012-01-23,15.095357,15.301785,15.082143,15.264643,13.061119,306062400
2012-01-24,15.182143,15.182143,14.983929,15.014643,12.847210,547638000
2012-01-25,16.230000,16.230356,15.847500,15.952143,13.649377,958314000
2012-01-26,16.012857,16.028214,15.826428,15.879642,13.587345,323985200
2012-01-27,15.869286,16.017143,15.848928,15.974286,13.668324,299709200
2012-01-30,15.918214,16.210714,15.906786,16.178928,13.843427,379341200
2012-01-31,16.271070,16.365715,16.181072,16.302856,13.949464,391683600
2012-02-01,16.371786,16.392500,16.269644,16.292500,13.940600,270046000
2012-02-02,16.282143,16.327499,16.213572,16.254286,13.907906,186796400
2012-02-03,16.332144,16.428572,16.270000,16.417143,14.047252,286599600
2012-02-06,16.370714,16.606428,16.364286,16.570356,14.178349,249412800
2012-02-07,16.616072,16.776785,16.592142,16.743929,14.326866,316223600
2012-02-08,16.803572,17.028214,16.775000,17.024286,14.566751,407890000
2012-02-09,17.170000,17.741072,17.162857,17.613214,15.070663,884214800
2012-02-10,17.534286,17.772142,17.448214,17.622143,15.078306,631302000
2012-02-13,17.840357,17.993929,17.753214,17.950001,15.358835,517216000
2012-02-14,18.023571,18.198572,17.928572,18.195000,15.568467,460398400
2012-02-15,18.366428,18.796072,17.746071,17.773928,15.208179,1506120000
2012-02-16,17.553572,18.031786,17.379642,17.936071,15.346918,944552000
2012-02-17,17.968214,18.134644,17.867857,17.932858,15.344164,535805200
2012-02-21,18.102858,18.387501,18.004286,18.387501,15.733179,605595200
2012-02-22,18.324286,18.410357,18.181072,18.322857,15.677864,483302400
2012-02-23,18.395714,18.493929,18.196428,18.442499,15.780239,568027600
2012-02-24,18.559643,18.674999,18.522858,18.657499,15.964201,415072000
2012-02-27,18.618214,18.875000,18.438572,18.777143,16.066578,547582000
2012-02-28,18.855715,19.121786,18.780357,19.121786,16.361467,600387200
2012-02-29,19.341429,19.557501,19.132143,19.372858,16.576292,952011200
2012-03-01,19.577499,19.578928,19.241785,19.445356,16.638327,683270000
2012-03-02,19.437143,19.528572,19.375713,19.470715,16.660028,431712400
2012-03-05,19.479286,19.552856,18.785715,19.041430,16.292711,809124400
2012-03-06,18.702143,19.060358,18.436428,18.937857,16.204088,810238800
2012-03-07,19.171429,19.206429,18.689285,18.953215,16.217228,798520800
2012-03-08,19.096071,19.392500,19.004286,19.356785,16.562544,516457200
2012-03-09,19.436071,19.562143,19.396786,19.470358,16.659718,418919200
2012-03-12,19.606428,19.714285,19.535715,19.714285,16.868443,407282400
2012-03-13,19.912144,20.292143,19.848215,20.289286,17.360434,690855200
2012-03-14,20.644644,21.240000,20.549999,21.056429,18.016838,1418844000
2012-03-15,21.414642,21.428928,20.662500,20.912857,17.893991,1159718000
2012-03-16,20.882856,21.042856,20.642857,20.913214,17.894295,825487600
2012-03-19,21.370358,21.491785,21.037500,21.467857,18.368876,901236000
2012-03-20,21.411072,21.674999,21.124287,21.641428,18.517385,816662000
2012-03-21,21.526428,21.773214,21.478930,21.517857,18.411655,644042000
2012-03-22,21.349285,21.589285,21.268929,21.405001,18.315090,623870800
2012-03-23,21.446072,21.492857,21.228571,21.287500,18.214550,430488800
2012-03-26,21.421072,21.683929,21.259285,21.677856,18.548555,595742000
2012-03-27,21.649286,22.010000,21.645000,21.945715,18.777750,607129600
2012-03-28,22.084999,22.194643,21.796785,22.057858,18.873701,655460400
2012-03-29,21.885000,22.020000,21.686787,21.780714,18.636572,608238400
2012-03-30,21.741785,21.805714,21.355000,21.412500,18.321507,731038000
